split_type	split	model	mean	std
reduced	1	densenet121	0.87225	0.07010171181932717
reduced	1	densenet161	0.8655	0.06684060642054845
reduced	1	efficientnet_m	0.87675	0.06092276531259339
reduced	1	efficientnet_s	0.86775	0.1527817070201796
reduced	1	resnet101	0.89425	0.04980880109645953
reduced	1	resnet18	0.8182499999999999	0.06000763840267896
reduced	1	resnet34	0.8867499999999999	0.09675183030137804
reduced	1	resnet50	0.836	0.045650848842053324
reduced	2	densenet121	0.96675	0.018927493230747678
reduced	2	densenet161	0.9395	0.043401228861250744
reduced	2	efficientnet_m	0.9744999999999999	0.005744562646538059
reduced	2	efficientnet_s	0.9662499999999999	0.010045728777279706
reduced	2	resnet101	0.956	0.019916492328386184
reduced	2	resnet18	0.97575	0.0074105780251385745
reduced	2	resnet34	0.958	0.0235372045918797
reduced	2	resnet50	0.9515	0.026639569566092185
reduced	3	densenet121	0.89875	0.014840822079655834
reduced	3	densenet161	0.8815	0.037986839826445185
reduced	3	efficientnet_m	0.9065	0.0404021451575697
reduced	3	efficientnet_s	0.87525	0.07789041447229988
reduced	3	resnet101	0.9055	0.011561430130683076
reduced	3	resnet18	0.911	0.047434164902525645
reduced	3	resnet34	0.8895	0.04195632649950826
reduced	3	resnet50	0.88575	0.03535887441647429
reduced	4	densenet121	0.891	0.047686476070265445
reduced	4	densenet161	0.9235	0.016782927833565445
reduced	4	efficientnet_m	0.896	0.06604543890383348
reduced	4	efficientnet_s	0.874	0.08098147936411138
reduced	4	resnet101	0.8360000000000001	0.1811316280130742
reduced	4	resnet18	0.81375	0.12473805888073346
reduced	4	resnet34	0.909	0.04013311184877981
reduced	4	resnet50	0.8442500000000001	0.08701101462841744
